frames,reward,dist
5000,0.0000,11.2836
10000,0.0000,8.5532
15000,0.0000,10.5182
20000,0.0000,10.6573
25000,0.0000,9.8827
30000,0.0000,7.9287
35000,0.0000,4.2895
40000,0.0000,6.0795
45000,0.0000,4.9365
50000,0.0000,5.3001
55000,0.0000,1.0151
60000,0.0000,1.3308
65000,0.0000,2.0847
70000,0.0000,1.9178
75000,0.0000,2.0555
80000,0.0000,2.1909
85000,0.0000,2.2876
90000,0.0000,2.5414
95000,0.0000,2.4563
100000,0.0000,3.0166
105000,0.0000,0.5990
110000,0.0000,0.9819
115000,0.0000,0.9455
120000,0.0000,1.0755
125000,0.0000,0.7961
130000,0.0000,1.2882
135000,0.0000,1.1054
140000,0.0000,1.0747
145000,0.0000,1.1364
150000,0.0000,1.1824
155000,0.0000,0.9057
160000,0.0000,0.8601
165000,0.0000,0.9383
170000,0.0000,1.0632
175000,0.0000,1.1146
180000,0.0000,1.2876
185000,0.0000,0.9956
190000,0.0000,1.1389
195000,0.0000,1.2595
200000,0.0000,1.5051
205000,0.0000,1.4784
210000,0.0000,1.0615
215000,0.0000,1.4178
220000,0.0000,1.1579
225000,0.0000,0.7478
230000,0.0000,0.9391
235000,0.0000,1.0393
240000,0.0000,0.9594
245000,0.0000,0.7728
250000,0.0000,0.5692
255000,0.0000,0.8820
260000,0.0000,0.6134
265000,0.0000,0.7549
270000,0.0000,0.8807
275000,0.0000,0.9150
280000,0.0000,1.1689
285000,0.0000,1.0393
290000,0.0000,0.9871
295000,0.0000,0.8800
300000,0.0000,1.0371
305000,0.0000,0.9483
310000,0.0000,1.0156
315000,0.0000,0.8365
320000,0.0000,0.7596
325000,0.0000,0.8125
330000,0.0000,0.8282
335000,0.0000,0.9159
340000,0.0000,0.9129
345000,0.0000,0.9925
350000,0.0000,0.7608
355000,0.0000,1.1865
360000,0.0000,1.2172
365000,0.0000,1.1769
370000,0.0000,1.2468
375000,0.0000,1.1853
380000,0.0000,1.0010
385000,0.0000,1.1428
390000,0.0000,1.2754
395000,0.0000,1.0872
400000,0.0000,1.1006
405000,0.0000,1.1320
410000,0.0000,1.0066
415000,0.0000,1.1373
420000,0.0000,1.0368
425000,0.0000,0.9931
430000,0.0000,1.1966
435000,0.0000,1.0338
440000,0.0000,1.3619
445000,0.0000,1.2037
450000,0.0000,1.0899
455000,0.0000,1.0536
460000,0.0000,1.2449
465000,0.0000,0.9452
470000,0.0000,1.1259
475000,0.0000,1.0029
480000,0.0000,1.3084
485000,0.0000,0.7403
490000,0.0000,0.7841
495000,0.0000,1.0868
500000,0.0000,0.8730
505000,0.0000,1.0128
510000,0.0000,0.7525
515000,0.0000,1.1006
520000,0.0000,0.8199
525000,0.0000,1.1733
530000,0.0000,1.2588
535000,0.0000,1.2707
540000,0.0000,1.1062
545000,0.0000,1.0326
550000,0.0000,1.1487
555000,0.0000,0.6475
560000,0.0000,1.0386
565000,0.0000,1.0164
570000,0.0000,0.8794
575000,0.0000,1.0941
580000,0.0000,1.0572
585000,0.0000,1.1553
590000,0.0000,1.1929
595000,0.0000,1.1305
600000,0.0000,1.1816
605000,0.0000,1.1032
610000,0.0000,1.4036
615000,0.0000,1.2029
620000,0.0000,1.2930
625000,0.0000,1.3473
630000,0.0000,1.2068
635000,0.0000,1.2612
640000,0.0000,1.1505
645000,0.0000,1.1616
650000,0.0000,1.4162
655000,0.0000,1.2269
660000,0.0000,1.4472
665000,0.0000,1.2370
670000,0.0000,1.3644
675000,0.0000,1.4069
680000,0.0000,1.2553
685000,0.0000,1.2652
690000,0.0000,1.2723
695000,0.0000,1.4719
700000,0.0000,1.2804
705000,0.0000,1.2629
710000,0.0000,1.4395
715000,0.0000,1.3267
720000,0.0000,1.4554
725000,0.0000,1.3862
730000,0.0000,1.3462
735000,0.0000,1.2571
740000,0.0000,1.4425
745000,0.0000,1.4703
750000,0.0000,1.3624
755000,0.0000,1.5089
760000,0.0000,1.2737
765000,0.0000,1.1975
770000,0.0000,1.4809
775000,0.0000,1.3602
780000,0.0000,1.5215
785000,0.0000,1.3889
790000,0.0000,1.3242
795000,0.0000,1.4339
800000,0.0000,1.2688
805000,0.0000,1.5269
810000,0.0000,1.3942
815000,0.0000,1.6240
820000,0.0000,1.5269
825000,0.0000,1.3678
830000,0.0000,1.5369
835000,0.0000,1.4313
840000,0.0000,1.4921
845000,0.0000,1.4020
850000,0.0000,1.5030
855000,0.0000,1.5215
860000,0.0000,1.3921
865000,0.0000,1.3248
870000,0.0000,1.3715
875000,0.0000,1.2501
880000,0.0000,1.2404
885000,0.0000,1.3189
890000,0.0000,1.4133
895000,0.0000,1.3234
900000,0.0000,1.3387
905000,0.0000,1.4693
910000,0.0000,1.5046
915000,0.0000,1.6706
920000,0.0000,1.6647
925000,0.0000,1.5809
930000,0.0000,1.6379
935000,0.0000,1.6719
