frames,reward,dist
5000,0.0000,3.8992
10000,0.0000,5.7907
15000,0.0000,10.1427
20000,0.0000,9.1711
25000,0.0000,9.2773
30000,0.0000,9.3441
35000,0.0000,8.9172
40000,0.0000,6.3151
45000,0.0000,7.0726
50000,0.0000,8.4677
55000,0.0000,0.9977
60000,0.0000,1.0330
65000,0.0000,1.3028
70000,0.0000,1.7407
75000,0.0000,1.5742
80000,0.0000,1.8155
85000,0.0000,1.7542
90000,0.0000,1.5299
95000,0.0000,1.5739
100000,0.0000,1.6350
105000,0.0000,1.3810
110000,0.0000,1.2023
115000,0.0000,1.2203
120000,0.0000,1.3048
125000,0.0000,1.4042
130000,0.0000,1.3750
135000,0.0000,1.4255
140000,0.0000,1.3575
145000,0.0000,1.3006
150000,0.0000,1.2578
155000,0.0000,1.1424
160000,0.0000,1.0473
165000,0.0000,1.1594
170000,0.0000,1.0045
175000,0.0000,1.0630
180000,0.0000,1.2051
185000,0.0000,1.1341
190000,0.0000,1.0822
195000,0.0000,0.8827
200000,0.0000,1.0869
205000,0.0000,0.9002
210000,0.0000,1.3057
215000,0.0000,1.2344
220000,0.0000,1.1440
225000,0.0000,1.2580
230000,0.0000,1.1758
235000,0.0000,1.3000
240000,0.0000,1.3037
245000,0.0000,1.2527
250000,0.0000,1.2810
255000,0.0000,1.2872
260000,0.0000,1.2986
265000,0.0000,1.2509
270000,0.0000,1.2755
275000,0.0000,1.3391
280000,0.0000,1.1852
285000,0.0000,1.1234
290000,0.0000,1.1800
295000,0.0000,1.3291
300000,0.0000,1.3000
305000,0.0000,1.1955
310000,0.0000,1.1759
315000,0.0000,1.2371
320000,0.0000,1.2199
325000,0.0000,1.3008
330000,0.0000,1.1136
335000,0.0000,1.1068
340000,0.0000,1.2561
345000,0.0000,1.1900
350000,0.0000,1.0438
355000,0.0000,1.2293
360000,0.0000,1.0509
365000,0.0000,1.2107
370000,0.0000,1.1835
375000,0.0000,1.1407
380000,0.0000,1.1301
385000,0.0000,1.1880
390000,0.0000,1.0788
395000,0.0000,1.1047
400000,0.0000,1.2663
405000,0.0000,1.3007
410000,0.0000,1.1244
415000,0.0000,1.2641
420000,0.0000,1.1986
425000,0.0000,1.3411
430000,0.0000,1.1686
435000,0.0000,1.2381
440000,0.0000,1.1748
445000,0.0000,1.4729
450000,0.0000,1.0755
455000,0.0000,1.2077
460000,0.0000,1.1314
465000,0.0000,1.1932
470000,0.0000,1.1337
475000,0.0000,1.2852
480000,0.0000,1.2219
485000,0.0000,1.0998
490000,0.0000,1.0629
495000,0.0000,1.2568
500000,0.0000,1.1583
505000,0.0000,1.2151
510000,0.0000,1.0849
515000,0.0000,1.1914
520000,0.0000,1.1134
525000,0.0000,1.1389
530000,0.0000,1.0743
